,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,281854981,1100996,BANKEX25JUNFUT,BANKEX,0.0,2025-06-24,0.0,0.05,30,FUT,BFO-FUT,BFO
1,292126213,1141118,BANKEX25JULFUT,BANKEX,0.0,2025-07-29,0.0,0.05,30,FUT,BFO-FUT,BFO
2,211672581,826846,BANKEX25AUGFUT,BANKEX,0.0,2025-08-26,0.0,0.05,30,FUT,BFO-FUT,BFO
3,290865157,1136192,SENSEX25610FUT,SENSEX,0.0,2025-06-10,0.0,0.05,20,FUT,BFO-FUT,BFO
4,292114949,1141074,SENSEX25617FUT,SENSEX,0.0,2025-06-17,0.0,0.05,20,FUT,BFO-FUT,BFO
5,281836549,1100924,SENSEX25JUNFUT,SENSEX,0.0,2025-06-24,0.0,0.05,20,FUT,BFO-FUT,BFO
6,210402821,821886,SENSEX25701FUT,SENSEX,0.0,2025-07-01,0.0,0.05,20,FUT,BFO-FUT,BFO
7,211177989,824914,SENSEX25708FUT,SENSEX,0.0,2025-07-08,0.0,0.05,20,FUT,BFO-FUT,BFO
8,211665413,826818,SENSEX25715FUT,SENSEX,0.0,2025-07-15,0.0,0.05,20,FUT,BFO-FUT,BFO
9,212203525,828920,SENSEX25722FUT,SENSEX,0.0,2025-07-22,0.0,0.05,20,FUT,BFO-FUT,BFO
10,292078597,1140932,SENSEX25JULFUT,SENSEX,0.0,2025-07-29,0.0,0.05,20,FUT,BFO-FUT,BFO
11,211640069,826719,SENSEX25AUGFUT,SENSEX,0.0,2025-08-26,0.0,0.05,20,FUT,BFO-FUT,BFO
12,281925381,1101271,SENSEX5025JUNFUT,SENSEX50,0.0,2025-06-24,0.0,0.05,60,FUT,BFO-FUT,BFO
13,291911685,1140280,SENSEX5025JULFUT,SENSEX50,0.0,2025-07-29,0.0,0.05,75,FUT,BFO-FUT,BFO
14,211797509,827334,SENSEX5025AUGFUT,SENSEX50,0.0,2025-08-26,0.0,0.05,75,FUT,BFO-FUT,BFO
15,283184389,1106189,BANKEX25JUN64000CE,BANKEX,0.0,2025-06-24,64000.0,0.05,30,CE,BFO-OPT,BFO
16,283279621,1106561,BANKEX25JUN64000PE,BANKEX,0.0,2025-06-24,64000.0,0.05,30,PE,BFO-OPT,BFO
17,283377157,1106942,BANKEX25JUN63900CE,BANKEX,0.0,2025-06-24,63900.0,0.05,30,CE,BFO-OPT,BFO
18,283469573,1107303,BANKEX25JUN63900PE,BANKEX,0.0,2025-06-24,63900.0,0.05,30,PE,BFO-OPT,BFO
19,283324677,1106737,BANKEX25JUN64100CE,BANKEX,0.0,2025-06-24,64100.0,0.05,30,CE,BFO-OPT,BFO
20,283424261,1107126,BANKEX25JUN64100PE,BANKEX,0.0,2025-06-24,64100.0,0.05,30,PE,BFO-OPT,BFO
21,283483653,1107358,BANKEX25JUN63800CE,BANKEX,0.0,2025-06-24,63800.0,0.05,30,CE,BFO-OPT,BFO
22,283574533,1107713,BANKEX25JUN63800PE,BANKEX,0.0,2025-06-24,63800.0,0.05,30,PE,BFO-OPT,BFO
