TradingSymbol,BuyQty,BuyAvgPrice,SellQty,SellAvgPrice,NetQty,NetValue,LastTrade,MarkToMarket,BEP,Square Off,RealizedM,Unrealized,Indicator,Actual Buy Price,Actual Sell Price,Actual Buy,Actual Sell,Actual Mark,Actual Realized
SENSEX 13MAY2025 PE 82500,340,459.20,340,299.37,0,-54343.00,1363.05,-54343.00,0.00,Excluded,-54343.00,0.00,N,459.20,299.37,156128.00,101785.00,-54343.00,-54343.00
SENSEX 13MAY2025 PE 82300,900,450.80,900,286.61,0,-147775.00,1163.00,-147775.00,0.00,Excluded,-147775.00,0.00,N,450.80,286.61,405720.00,257945.00,-147775.00,-147775.00
SENSEX 13MAY2025 CE 82300,1800,337.96,1800,332.75,0,-9379.00,0.20,-9379.00,0.00,Excluded,-9379.00,0.00,N,337.96,332.75,608336.00,598957.00,-9379.00,-9379.00
SENSEX 13MAY2025 CE 82200,900,326.75,900,320.50,0,-5627.00,0.20,-5627.00,0.00,Excluded,-5627.00,0.00,N,326.75,320.50,294077.00,288450.00,-5627.00,-5627.00
SENSEX 13MAY2025 PE 81900,2700,552.03,2700,352.06,0,-539914.00,762.20,-539914.00,0.00,Excluded,-539914.00,0.00,N,552.03,352.06,1490489.00,950575.00,-539914.00,-539914.00
SENSEX 13MAY2025 CE 82000,900,280.00,900,273.99,0,-5408.00,0.25,-5408.00,0.00,Excluded,-5408.00,0.00,N,280.00,273.99,252000.00,246592.00,-5408.00,-5408.00
SENSEX 13MAY2025 PE 81800,900,500.00,900,319.86,0,-162127.00,663.15,-162127.00,0.00,Excluded,-162127.00,0.00,N,500.00,319.86,450000.00,287873.00,-162127.00,-162127.00
SENSEX 13MAY2025 CE 82100,3600,340.75,3600,324.42,0,-58785.00,0.25,-58785.00,0.00,Excluded,-58785.00,0.00,N,340.75,324.42,1226701.00,1167916.00,-58785.00,-58785.00
SENSEX 13MAY2025 PE 82000,900,599.00,900,381.04,0,-196164.00,865.35,-196164.00,0.00,Excluded,-196164.00,0.00,N,599.00,381.04,539100.00,342936.00,-196164.00,-196164.00
SENSEX 13MAY2025 PE 82100,1800,616.04,1800,392.37,0,-402610.00,962.45,-402610.00,0.00,Excluded,-402610.00,0.00,N,616.04,392.37,1108877.00,706267.00,-402610.00,-402610.00
SENSEX 13MAY2025 PE 82400,2140,407.10,2140,253.50,0,-328694.00,1260.50,-328694.00,0.00,Excluded,-328694.00,0.00,N,407.10,253.50,871188.00,542494.00,-328694.00,-328694.00
SENSEX 13MAY2025 CE 82500,1580,196.82,1580,294.17,0,153801.00,0.20,153801.00,0.00,Excluded,153801.00,0.00,N,196.82,294.17,310983.00,464784.00,153801.00,153801.00
SENSEX 13MAY2025 CE 82600,2480,169.88,2480,272.42,0,254303.00,0.15,254303.00,0.00,Excluded,254303.00,0.00,N,169.88,272.42,421292.00,675595.00,254303.00,254303.00
NA,20940.00,NA,20940.00,NA,0.00,-1502722.00,NA,-1502722.00,NA,NA,NA,NA,NA,NA,NA,8134891.00,6632169.00,-1502722.00,NA
