TradingSymbol,BuyQty,BuyAvgPri,SellQty,SellAvgPrice,NetQty,NetValue,LastTrade,MarkToMarket,BEP,Square Off,RealizedM,Unrealized,Indicator,Actual Buy,Actual Sell,Actual Buy Value,Actual Sell Value,Actual Mark,Actual Realized
SENSEX 20MAY2025 PE 82100,5320,221.99,5320,140,0,-431556.00,910.15,-431556.00,0.00,Excluded,-431556.00,0.00,N,221.99,140.87,1181001.00,749445.00,-431556.00,-431556.00
SENSEX 20MAY2025 PE 82000,4600,207.93,4600,133,0,-343352.00,809.85,-343352.00,0.00,Excluded,-343352.00,0.00,N,207.93,133.29,956471.00,613119.00,-343352.00,-343352.00
SENSEX 20MAY2025 CE 82000,720,0.83,720,120,0,86424.00,0.20,86424.00,0.00,Excluded,86424.00,0.00,N,0.83,120.86,594.00,87018.00,86424.00,86424.00
SENSEX 20MAY2025 PE 81800,720,200.82,720,136,0,-45985.00,611.80,-45985.00,0.00,Excluded,-45985.00,0.00,N,200.82,136.95,144592.00,98607.00,-45985.00,-45985.00
SENSEX 20MAY2025 PE 81400,360,146.60,360,96.54,0,-18021.00,211.80,-18021.00,0.00,Excluded,-18021.00,0.00,N,146.60,96.54,52776.00,34755.00,-18021.00,-18021.00
SENSEX 20MAY2025 CE 81500,720,0.93,720,14.78,0,9972.00,0.25,9972.00,0.00,Excluded,9972.00,0.00,N,0.93,14.78,666.00,10638.00,9972.00,9972.00
SENSEX 20MAY2025 PE 81200,1800,18.43,1800,35.18,0,30145.00,14.85,30145.00,0.00,Excluded,30145.00,0.00,N,18.43,35.18,33177.00,63322.00,30145.00,30145.00
SENSEX 20MAY2025 PE 81100,720,0.65,720,17.93,0,12438.00,0.40,12438.00,0.00,Excluded,12438.00,0.00,N,0.65,17.93,468.00,12906.00,12438.00,12438.00
SENSEX 20MAY2025 CE 81200,720,16.29,720,44.63,0,20408.00,3.20,20408.00,0.00,Excluded,20408.00,0.00,N,16.29,44.63,11727.00,32135.00,20408.00,20408.00
SENSEX 20MAY2025 CE 81300,1440,1.31,1440,22.75,0,30864.00,0.35,30864.00,0.00,Excluded,30864.00,0.00,N,1.31,22.75,1890.00,32754.00,30864.00,30864.00
SENSEX 20MAY2025 PE 81300,1080,102.58,1080,66.95,0,-38476.00,112.40,-38476.00,0.00,Excluded,-38476.00,0.00,N,102.58,66.95,110781.00,72305.00,-38476.00,-38476.00
SENSEX 20MAY2025 CE 81400,1440,0.94,1440,22.33,0,30798.00,0.30,30798.00,0.00,Excluded,30798.00,0.00,N,0.94,22.33,1350.00,32148.00,30798.00,30798.00
SENSEX 20MAY2025 CE 81900,720,0.80,720,158,0,113726.00,0.25,113726.00,0.00,Excluded,113726.00,0.00,N,0.80,158.75,576.00,114302.00,113726.00,113726.00
SENSEX 20MAY2025 PE 81900,360,270.92,360,179,0,-32754.00,713.10,-32754.00,0.00,Excluded,-32754.00,0.00,N,270.92,179.94,97531.00,64777.00,-32754.00,-32754.00
SENSEX 20MAY2025 PE 82200,360,274.34,360,184,0,-32305.00,1010.05,-32305.00,0.00,Excluded,-32305.00,0.00,N,274.34,184.60,98761.00,66456.00,-32305.00,-32305.00
SENSEX 20MAY2025 CE 82200,5320,51.68,5320,160,0,580890.00,0.20,580890.00,0.00,Excluded,580890.00,0.00,N,51.68,160.87,274940.00,855830.00,580890.00,580890.00
SENSEX 20MAY2025 CE 82300,5320,76.06,5320,145,0,371034.00,0.20,371034.00,0.00,Excluded,371034.00,0.00,N,76.06,145.81,404661.00,775695.00,371034.00,371034.00
