TradingSymbol,NetLots,BuyQty,BuyAvgPrice,SellQty,NetQty,LastTrade,MarkToMarket,NetValue,SquareOff,Context,Unrealized,ActualBuy,RealizedM,Indicator,ActualSell,ActualBuyValue,ActualSellValue,ActualMark
BANKEX 25MAR2025 PE 5,0,2280,298.28,2280,0,218.55,-318703.50,-318703.50,Excluded,0.00,298.28,318703.50,N,158.49,680070.00,361366.50,318703
SENSEX 25MAR2025 PE 7,0,1280,344.39,1280,0,382.30,-200439.00,-200439.00,Excluded,0.00,344.39,-200439.00,N,187.80,440821.00,240382.00,-200439
SENSEX 25MAR2025 PE 7,0,2920,294.23,2920,0,282.85,-323822.00,-323822.00,Excluded,0.00,294.23,-323822.00,N,183.33,859138.00,535316.00,-323822
SENSEX 25MAR2025 CE 7,0,3520,55.31,3520,0,0.25,18574.00,18574.00,Excluded,0.00,55.31,18574.00,N,60.58,194684.00,213258.00,18574
SENSEX 25MAR2025 CE 7,0,4160,21.81,4160,0,0.15,57756.00,57756.00,Excluded,0.00,21.81,57756.00,N,35.70,90738.00,148494.00,57756
BANKEX 25MAR2025 PE 5,0,900,91.96,900,0,120.00,-37411.50,-37411.50,Excluded,0.00,91.96,-37411.50,N,50.39,82765.50,45354.00,-37411
BANKEX 25MAR2025 CE 5,0,1800,21.09,1800,0,0.05,15889.50,15889.50,Excluded,0.00,21.09,15889.50,N,29.91,37953.00,53842.50,15889
SENSEX 25MAR2025 PE 7,0,320,75.69,320,0,182.50,-8413.00,-8413.00,Excluded,0.00,75.69,-8413.00,N,49.40,24222.00,15809.00,-8413
BANKEX 25MAR2025 CE 5,0,1260,61.67,1260,0,0.20,-12100.50,-12100.50,Excluded,0.00,61.67,-12100.50,N,52.07,77703.00,65602.50,-12100
BANKEX 25MAR2025 PE 5,0,1440,7.76,1440,0,0.55,-2013.00,-2013.00,Excluded,0.00,7.76,-2013.00,N,6.36,11172.00,9159.00,-2013
BANKEX 25MAR2025 PE 5,0,1800,26.25,1800,0,20.75,-14992.50,-14992.50,Excluded,0.00,26.25,-14992.50,N,17.92,47247.00,32254.50,-14992
SENSEX 25MAR2025 CE 7,0,640,0.30,640,0,0.10,18416.00,18416.00,Excluded,0.00,0.30,18416.00,N,29.08,192.00,18608.00,18416
SENSEX 25MAR2025 PE 7,0,3520,41.52,3520,0,0.05,45358.00,45358.00,Excluded,0.00,41.52,-45358.00,N,28.64,146166.00,100808.00,45358
BANKEX 25MAR2025 CE 5,0,720,0.34,720,0,0.05,44970.00,44970.00,Excluded,0.00,0.34,44970.00,N,62.80,243.00,45213.00,44970
SENSEX 25MAR2025 PE 7,0,3840,74.91,3840,0,83.40,-116489.00,-116489.00,Excluded,0.00,74.91,-116489.00,N,44.57,287655.00,171166.00,-116489
BANKEX 25MAR2025 PE 5,0,540,329.52,540,0,313.65,-64488.00,-64488.00,Excluded,0.00,329.52,-64488.00,N,210.09,177939.00,113451.00,-64488
BANKEX 25MAR2025 CE 6,0,1560,0.45,1560,0,0.05,276273.00,276273.00,Excluded,0.00,0.45,276273.00,N,177.55,705.00,276978.00,276273
SENSEX 25MAR2025 CE 7,0,3480,150.14,3480,0,0.10,147291.00,147291.00,Excluded,0.00,150.14,147291.00,N,192.47,522498.00,669789.00,147291
BANKEX 25MAR2025 CE 5,0,720,0.25,720,0,0.05,84363.00,84363.00,Excluded,0.00,0.25,84363.00,N,117.42,180.00,84543.00,84363
SENSEX 25MAR2025 CE 7,0,1280,195.77,1280,0,0.10,7036.00,7036.00,Excluded,0.00,195.77,7036.00,N,201.27,250589.00,257625.00,7036
NA,NA,37980.00,NA,37980.00,0.00,NA,-473661.50,-473661.50,NA,NA,NA,NA,NA,NA,3932680.50,3459019.00,473661
