TradingSymbol,NetLots,BuyQty,SellQty,BuyAvgPrice,SellAvgPrice,LastTradePrice,NetQty,MarkToMarket,NetValue,ActualSellValue,SellLots,BEP,SquareOff,Context,RealizedMTM,BuyLots,AvgOptionPrice,ActualBuyValue,Unrealized,Indic
SENSEX 06MAY2025 CE 80600,0,5000,5000,82.24,49.58,42.20,0,-163318.00,-163318.00,247885.00,2,0.00,Included,-163318.00,250,82,CE,411203.00,4,0.00,N
SENSEX 06MAY2025 CE 80700,0,6500,6500,7.53,10.06,0.05,0,16410.00,16410.00,65385.00,3,0.00,Included,16410.00,325,7,CE,48975.00,1,0.00,N
SENSEX 06MAY2025 CE 80800,0,6000,6000,23.99,109.51,0.05,0,513144.00,513144.00,657078.00,3,0.00,Included,513144.00,300,23,CE,143934.00,1,0.00,N
SENSEX 06MAY2025 CE 80900,0,6000,6000,0.62,104.80,0.05,0,625119.00,625119.00,628819.00,3,0.00,Included,625119.00,300,0,CE,3700.00,1,0.00,N
SENSEX 06MAY2025 CE 81100,0,4000,4000,1.63,0.43,0.05,0,-4800.00,4800.00,1700.00,2,0.00,Included,4800.00,200,1,CE,6500.00,0,0.00,N
SENSEX 06MAY2025 CE 81500,0,2000,2000,2.05,0.30,0.05,0,-3500.00,-3500.00,600.00,1,0.00,Included,-3500.00,100,2,CE,4100.00,0,0.00,N
SENSEX 06MAY2025 CE 81700,0,3000,3000,2.23,1.18,0.05,0,-3125.00,-3125.00,3550.00,1,0.00,Included,-3125.00,150,2,CE,6675.00,1,0.00,N
SENSEX 06MAY2025 CE 82000,0,2000,2000,2.10,2.00,0.05,0,-200.00,-200.00,4000.00,1,0.00,Included,-200.00,100,2,CE,4200.00,2,0.00,N
SENSEX 06MAY2025 CE 82300,0,12000,12000,4.05,0.18,0.05,0,-46343.00,-46343.00,2200.00,6,0.00,Included,46343.00,600,4,CE,48543.00,0,0.00,N
SENSEX 06MAY2025 PE 77500,0,2000,2000,1.00,0.05,0.05,0,-1900.00,-1900.00,100.00,1,0.00,Included,-1900.00,100,1,PE,2000.00,0,0.00,N
SENSEX 06MAY2025 PE 78400,0,3500,3500,1.88,1.44,0.10,0,-1541.00,-1541.00,5050.00,1,0.00,Included,-1541.00,175,1,PE,6591.00,1,0.00,N
SENSEX 06MAY2025 PE 78600,0,2000,2000,2.08,0.25,0.05,0,-3650.00,-3650.00,500.00,1,0.00,Included,-3650.00,100,2,PE,4150.00,0,0.00,N
SENSEX 06MAY2025 PE 78700,0,2000,2000,2.05,0.20,0.05,0,-3700.00,-3700.00,400.00,1,0.00,Included,-3700.00,100,2,PE,4100.00,0,0.00,N
SENSEX 06MAY2025 PE 78800,0,12000,12000,4.21,0.17,0.05,0,48573.00,48573.00,2000.00,6,0.00,Included,-48573.00,600,4,PE,50573.00,0,0.00,N
SENSEX 06MAY2025 PE 78900,0,2000,2000,2.10,2.00,0.05,0,-200.00,-200.00,4000.00,1,0.00,Included,-200.00,100,2,PE,4200.00,2,0.00,N
SENSEX 06MAY2025 PE 80500,0,5500,5500,7.26,11.46,0.05,0,23057.00,23057.00,63007.00,2,0.00,Included,23057.00,275,7,PE,39950.00,1,0.00,N
SENSEX 06MAY2025 PE 80600,0,10500,10500,16.62,59.09,0.10,0,445918.00,445918.00,620406.00,5,0.00,Included,445918.00,525,16,PE,174488.00,5,0.00,N
SENSEX 06MAY2025 PE 80700,0,6000,6000,79.50,131.88,58.50,0,314275.00,314275.00,791277.00,3,0.00,Included,314275.00,300,79,PE,477002.00,1,0.00,N
SENSEX 06MAY2025 PE 80800,0,1500,1500,162.00,133.97,157.70,0,-42045.00,-42045.00,200958.00,75,0.00,Included,-42045.00,75,16,PE,243003.00,1,0.00,N
NA,NA,93500,93500,NA,NA,NA,0,0.00,1615028.00,1615028.00,3298915.00,NA,NA,NA,NA,NA,NA,1683887.00,NA,NA
